period,release_date,state_code,state,sector,price_cents_per_kwh,cost_of_100_kwh_usd,difference_from_us_average_cents_per_kwh,source,retrieved_at
2026-05,2026-07-23,SC,South Carolina,residential,16.18,16.18,-2.26,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,SD,South Dakota,residential,15.73,15.73,-2.71,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,TN,Tennessee,residential,14.47,14.47,-3.97,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,TX,Texas,residential,16.44,16.44,-2.00,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,UT,Utah,residential,12.96,12.96,-5.48,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,VT,Vermont,residential,24.89,24.89,6.45,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,VA,Virginia,residential,17.61,17.61,-0.83,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,WA,Washington,residential,14.95,14.95,-3.49,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,WV,West Virginia,residential,16.80,16.80,-1.64,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,WI,Wisconsin,residential,19.74,19.74,1.30,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,WY,Wyoming,residential,14.80,14.80,-3.64,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
2026-05,2026-07-23,US,U.S. Total,residential,18.44,18.44,0.00,U.S. Energy Information Administration API v2 electricity/retail-sales,2026-07-26T04:57:28Z
